time,lat,lon,ice_concentration,product_quality,concentration_range
2023-01-22 14:00:00,55.60374069213867,18.52372932434082,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,18.541730880737305,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,18.55974006652832,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,18.577739715576172,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,18.59575080871582,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,18.613750457763672,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,18.631750106811523,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,18.649749755859375,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,18.667760848999023,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,18.685760498046875,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,18.703760147094727,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,18.721769332885742,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,18.739770889282227,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,18.757770538330078,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,18.775779724121094,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,18.793779373168945,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,18.81178092956543,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,18.829790115356445,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,18.847789764404297,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,18.86578941345215,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,18.883800506591797,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,18.90180015563965,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,18.9197998046875,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,18.93781089782715,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,18.955810546875,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,18.97381019592285,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,18.991819381713867,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.00982093811035,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.027820587158203,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.04582977294922,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.06382942199707,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.081829071044922,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.09984016418457,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.117839813232422,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.135839462280273,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.153850555419922,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.171850204467773,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.189849853515625,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.207860946655273,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.225860595703125,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.243860244750977,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.261869430541992,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.279869079589844,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.297870635986328,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.315879821777344,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.333879470825195,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.351879119873047,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.36988067626953,0.0,100.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.387889862060547,0.0,60.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.4058895111084,0.0,60.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.42388916015625,0.0,60.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.4419002532959,0.0,60.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.45989990234375,0.0,60.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.477909088134766,0.0,60.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.49591064453125,0.0,60.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.5139102935791,0.0,60.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.531919479370117,0.0,60.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.54991912841797,0.0,60.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.567920684814453,0.0,60.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.585920333862305,0.0,60.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.60392951965332,0.0,60.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.621929168701172,0.0,60.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.639930725097656,0.0,60.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.657939910888672,0.0,60.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.675939559936523,0.0,60.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.693939208984375,0.0,60.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.711950302124023,0.0,60.0,0.0
